test_true_0,test_true_1,test_true_2,test_true_3,test_true_4,test_true_5,test_true_6,test_true_7,test_true_8,test_true_9,test_true_10,test_true_11,test_true_12,test_true_13,test_true_14,test_true_15,test_true_16,test_true_17,test_true_18,test_true_19,test_true_20,test_true_21,test_true_22,test_true_23,test_true_24,test_true_25,test_true_26,test_true_27,test_true_28,test_true_29
-0.15,3.1,3.57,3.02,-0.2,0.74,3.6,2.49,2.2,1.0,3.42,2.75,1.02,1.18,3.0,1.41,2.98,3.75,1.86,1.56,3.12,2.4,-1.45,2.53,2.82,1.68,3.13,4.3,-0.12,1.45
0.66,2.34,3.04,1.62,1.1,2.8,3.3,2.1,2.86,0.16,1.03,1.33,2.18,2.36,1.79,3.44,3.4,1.61,2.69,-0.54,1.38,3.4,2.0,2.81,-0.4,2.68,1.4,1.19,2.87,1.28
1.11,3.17,1.39,2.9,0.8,2.81,1.84,1.68,2.25,0.65,1.34,2.48,2.61,3.14,2.16,2.6,0.32,3.67,0.77,2.41,3.59,1.43,0.06,4.5,2.49,-1.02,2.36,2.3,2.68,1.78
2.7,2.7,1.98,3.3,2.12,3.3,1.99,3.5,3.15,2.69,2.87,1.08,3.37,3.0,2.5,2.74,-0.31,2.59,1.34,-1.45,1.4,2.02,3.21,3.3,2.3,2.74,3.92,1.22,1.99,2.45
2.15,2.79,1.13,3.4,4.0,3.69,1.1,0.15,3.82,2.26,2.5,3.04,2.94,3.2,3.8,1.11,3.5,0.4,2.63,3.14,3.4,2.8,3.8,3.01,0.14,2.65,3.89,2.89,2.34,3.49
2.37,2.57,2.0,2.78,2.17,0.77,-0.42,3.18,0.66,3.04,3.33,3.7,1.6,3.9,1.74,3.9,3.0,0.78,1.27,2.95,2.9,-1.5,2.54,2.58,1.7,2.0,2.0,0.29,0.62,3.5
2.0,3.52,3.85,-0.28,0.82,2.54,3.66,2.92,4.03,1.85,3.25,1.77,0.13,1.38,2.5,2.24,0.6,3.9,3.3,1.1,4.0,2.6,0.5,3.3,2.06,2.4,2.71,3.8,0.9,3.9
1.54,1.91,4.02,2.39,1.49,2.94,2.1,3.4,1.2,2.6,2.93,1.9,2.37,2.8,-0.27,-0.12,0.36,-0.2,2.72,1.28,1.5,3.68,0.73,-0.54,3.19,1.92,3.41,1.14,1.58,-1.08
4.2,3.16,1.5,2.42,0.52,1.09,2.55,2.92,3.89,1.0,3.3,0.8,1.35,3.27,1.2,1.6,3.17,2.95,2.95,3.08,4.49,2.18,1.88,1.79,4.28,1.78,2.81,3.4,3.3,-0.65
3.9,3.0,2.82,1.78,2.62,2.1,1.97,1.77,3.1,4.07,1.47,2.9,1.94,2.56,1.61,0.71,2.5,2.5,-1.15,3.25,2.39,-0.55,1.51,2.76,2.14,2.7,3.6,3.37,1.33,1.82
1.69,1.45,2.68,1.53,1.79,2.87,3.24,0.06,2.14,2.99,2.76,2.43,2.9,2.02,3.5,2.5,2.36,3.08,3.38,2.0,2.9,2.26,1.25,1.67,2.3,-0.25,3.74,1.4,3.43,3.7
2.22,2.1,1.83,3.8,3.5,0.6,3.46,3.34,0.18,-0.8,4.2,1.41,3.37,2.11,-0.4,3.36,1.9,3.6,3.9,3.85,4.13,2.1,1.71,4.1,0.83,1.92,2.4,3.1,1.79,3.0
1.8,2.82,4.2,2.0,3.58,1.8,0.39,0.9,3.65,1.9,1.2,-0.12,0.41,0.99,3.12,0.2,3.4,2.69,2.1,3.0,1.79,0.74,2.36,2.16,2.44,2.23,2.84,2.05,3.6,4.42
-1.2,3.24,0.68,1.65,3.3,2.31,2.84,3.07,1.4,1.51,1.5,2.06,3.2,0.15,1.56,2.8,1.61,3.1,1.7,2.95,2.4,2.96,3.0,1.67,1.81,3.6,2.7,3.09,3.18,2.55
3.33,3.3,2.2,2.2,2.1,1.05,3.1,1.93,2.5,2.0,2.08,0.76,3.4,1.32,3.69,3.61,2.1,1.7,2.0,2.3,2.2,1.97,3.92,2.33,3.3,2.6,2.53,0.71,2.97,2.45
2.86,3.6,3.07,1.06,4.28,2.0,3.76,2.19,1.4,-0.54,0.2,0.9,4.3,2.92,3.6,3.13,3.27,1.6,2.44,2.7,3.7,1.79,4.05,2.9,3.1,-0.7,3.93,-0.42,-0.49,3.56
2.04,-0.04,1.6,1.65,1.27,3.9,3.97,1.74,1.81,1.39,3.98,1.71,2.4,2.6,3.75,2.2,1.23,4.0,2.6,1.91,0.92,2.77,2.63,1.58,2.68,1.3,2.0,1.11,2.5,-0.27
-0.04,2.14,3.1,-0.35,1.65,0.81,1.52,3.6,2.43,2.7,1.81,2.11,3.68,1.92,2.7,1.21,1.69,2.9,4.38,1.21,2.72,2.5,2.8,3.1,3.1,2.42,1.5,2.81,1.47,3.59
2.49,2.15,2.16,3.49,2.3,-1.02,2.45,1.34,1.71,2.48,3.5,1.5,1.65,3.84,1.69,2.9,-0.92,3.0,2.83,2.61,3.14,2.6,3.1,2.65,2.4,3.99,2.2,2.2,1.52,2.39
3.62,3.0,1.9,0.52,1.33,1.91,1.87,2.12,3.04,3.66,3.4,4.2,2.37,1.93,0.94,2.81,2.65,0.81,3.11,3.0,1.81,0.5,1.99,1.9,1.64,-0.42,2.26,3.25,0.4,2.51
2.6,2.41,2.57,2.22,0.02,2.21,-0.29,2.9,1.91,3.45,1.04,0.74,3.34,2.9,0.37,2.3,2.23,2.71,2.3,1.11,-0.01,2.43,3.12,0.63,1.4,1.6,0.84,2.83,0.6,3.98
0.62,3.22,1.56,1.19,2.97,2.51,3.2,1.77,3.31,2.11,2.17,3.18,0.82,3.7,2.3,0.82,1.84,2.9,1.98,3.3,1.5,3.42,3.14,0.6,3.21,2.03,1.52,3.67,0.4,2.67
3.65,1.18,1.27,3.15,-0.3,1.93,1.37,0.51,2.45,4.31,3.29,3.8,0.81,3.43,2.95,-1.2,2.9,2.1,3.91,2.49,1.86,0.23,1.58,2.3,4.03,3.6,3.9,1.07,3.14,1.13
1.0,2.83,2.0,3.4,2.1,2.82,3.0,0.31,1.03,2.4,1.75,2.12,2.52,0.22,1.92,1.31,1.55,3.3,3.27,-0.2,2.1,1.1,2.8,2.42,3.06,3.9,3.49,1.71,3.1,2.9
1.8,1.52,1.0,0.22,0.55,1.32,4.28,2.63,3.3,3.27,3.35,3.4,3.38,1.75,-0.62,2.8,3.4,3.67,2.77,3.7,3.78,2.47,1.24,2.44,0.9,2.57,1.25,1.19,3.88,3.52
2.54,3.8,0.79,3.2,3.11,1.6,1.56,2.88,2.1,2.56,3.3,2.4,2.06,2.3,3.59,3.7,0.9,2.59,2.1,4.17,3.9,2.6,2.26,2.32,2.53,3.98,1.99,2.13,2.6,2.62
2.7,2.85,2.75,0.0,1.27,1.2,3.58,0.8,3.1,2.93,1.67,2.9,2.5,0.68,1.68,3.9,1.7,-0.66,-1.08,3.43,1.05,4.28,2.64,3.13,1.97,1.56,2.0,0.06,1.84,3.9
1.05,1.23,3.63,3.07,2.11,4.05,2.1,-0.57,2.8,3.2,0.26,3.34,2.01,0.74,3.5,2.8,2.39,1.58,1.92,0.93,3.0,4.3,3.02,1.56,0.66,1.06,1.6,2.44,1.44,1.82
1.0,2.88,2.0,2.69,2.03,1.71,1.35,2.8,-0.15,3.15,0.27,2.39,0.03,1.94,3.22,3.12,2.7,3.12,3.39,2.5,1.17,4.15,-0.51,3.1,1.8,3.69,1.2,3.46,2.59,2.4
3.04,-0.13,1.5,2.23,3.6,0.44,2.85,2.59,3.97,3.97,4.13,2.1,3.22,2.77,2.3,0.18,3.29,2.68,3.1,0.22,-0.3,3.28,0.31,1.1,1.7,3.31,1.36,1.14,1.94,2.6
0.63,1.7,2.89,0.97,3.64,2.1,3.5,4.3,2.24,1.79,1.41,3.44,0.3,3.17,2.95,2.45,-0.12,4.49,2.67,1.15,2.7,2.09,2.63,2.35,3.6,2.65,3.14,4.13,2.83,3.31
3.19,4.1,0.7,1.5,2.06,0.33,2.39,3.99,3.04,3.4,1.8,2.96,2.06,0.49,3.61,3.5,4.24,0.7,0.92,-0.28,2.65,2.9,2.79,3.7,3.56,3.65,3.81,3.9,1.69,2.26
1.35,0.87,1.0,2.5,3.8,0.74,2.2,1.44,0.06,3.3,0.06,2.36,2.72,3.5,0.91,2.17,-1.33,3.15,2.63,2.16,1.5,1.97,2.3,3.1,2.77,1.13,3.27,3.72,3.22,1.73
2.7,3.57,0.87,3.8,-0.91,4.04,3.24,-0.98,2.48,2.48,2.11,2.78,1.3,2.8,3.52,2.7,3.1,3.0,1.32,-0.18,3.56,1.2,-0.04,3.2,0.14,2.66,4.09,3.89,-0.69,1.24
0.96,0.78,4.04,0.7,0.68,2.61,-0.51,3.21,0.94,1.75,0.18,2.8,1.91,2.77,4.3,1.4,2.82,3.37,1.5,1.4,2.56,3.3,3.7,2.9,3.1,3.77,2.19,3.56,4.23,-0.3
3.3,2.8,3.92,2.0,2.65,1.7,2.7,3.8,2.31,0.36,0.9,0.24,2.06,0.1,0.9,1.38,3.85,3.4,3.8,1.61,3.16,3.3,2.11,2.7,2.0,2.9,3.8,2.93,1.06,1.69
3.08,3.07,3.4,3.65,2.9,2.53,-0.09,3.65,2.2,3.58,4.42,2.13,3.45,2.78,3.0,3.12,2.9,3.3,0.9,3.82,2.5,1.09,3.53,1.7,2.31,2.79,1.38,2.8,3.13,1.32
3.24,3.15,1.5,0.47,3.18,3.2,3.44,2.99,0.8,3.4,3.01,3.38,3.6,3.07,2.8,1.4,1.0,3.18,2.01,2.43,1.41,1.06,2.4,4.26,0.8,3.49,3.4,3.8,2.5,2.54
2.8,3.77,1.49,0.55,1.13,3.3,2.0,1.1,1.26,2.41,0.48,0.8,-0.62,1.8,1.32,2.3,-0.87,1.9,-0.66,0.79,2.9,2.55,2.3,2.5,1.69,4.42,-0.9,2.72,2.28,1.0
2.93,3.8,2.95,1.39,1.39,2.7,3.45,3.9,3.2,3.8,2.41,1.13,3.86,2.59,2.7,0.8,-0.05,1.75,1.45,0.5,2.35,0.48,3.11,2.87,2.93,3.61,2.75,3.77,1.23,0.44
4.07,2.9,3.88,3.0,2.43,1.0,2.69,3.36,3.76,1.11,1.7,-0.25,2.1,-0.54,1.53,2.4,3.04,2.19,1.6,-0.7,1.1,2.56,2.7,2.63,3.5,-0.2,1.99,0.67,2.86,1.6
0.57,3.5,0.41,3.52,2.36,2.74,2.42,2.4,1.16,3.43,2.32,1.74,2.5,2.57,3.04,0.61,1.24,4.42,2.6,3.62,1.07,1.6,-0.03,1.74,2.66,3.42,0.82,1.7,1.7,1.98
0.81,3.99,3.85,3.05,2.21,2.33,1.62,2.85,2.33,1.82,3.65,2.93,3.0,0.76,3.66,3.0,0.27,4.3,2.82,-0.49,1.6,2.24,3.0,0.31,1.61,0.4,1.71,2.9,3.0,0.05
2.39,1.5,0.08,2.98,2.19,-0.94,1.4,2.45,4.1,2.87,1.16,1.41,-0.95,2.61,3.68,1.44,2.11,3.03,2.6,3.2,2.8,1.45,3.38,2.9,2.98,1.7,3.36,3.4,1.8,2.13
2.09,-0.18,-0.27,0.99,2.7,2.87,3.12,2.33,1.3,4.37,4.41,0.74,1.3,2.9,1.79,3.77,0.97,2.67,1.81,2.96,-0.51,3.17,0.44,3.4,1.79,3.1,4.15,3.12,2.7,1.69
4.12,1.81,3.47,1.0,-0.3,2.32,2.1,0.48,1.2,2.47,3.2,0.3,3.07,3.31,2.15,2.5,1.19,3.74,3.5,2.9,3.13,1.74,3.97,2.41,3.3,3.12,0.76,2.39,1.06,2.12
1.3,0.57,2.59,-0.71,2.99,2.76,1.33,3.45,1.63,-0.62,3.28,2.3,3.56,1.47,1.32,3.3,0.5,1.58,-1.02,3.25,0.9,3.31,3.45,1.25,3.1,1.49,3.99,2.4,3.61,3.6
0.44,0.17,-0.34,2.41,0.61,2.91,4.31,2.9,1.95,3.12,2.61,-0.38,3.29,1.18,1.89,3.21,2.22,1.4,0.02,1.82,2.6,-0.54,1.5,1.6,0.8,1.16,3.68,2.39,1.9,0.28
2.27,3.0,2.06,3.04,-1.29,1.15,3.44,2.8,1.9,4.18,1.3,3.86,3.37,2.23,2.73,0.25,-0.54,1.89,-0.1,1.51,3.2,1.67,0.6,1.99,3.25,0.54,2.14,2.47,3.6,0.12
4.2,1.65,4.3,0.87,2.48,1.64,2.75,1.75,3.6,2.71,2.95,1.47,1.3,3.2,1.3,0.93,2.42,1.91,0.2,4.2,2.03,2.41,1.48,2.08,1.0,3.33,0.87,1.32,2.22,2.54
2.0,3.38,3.1,0.7,3.38,2.34,2.45,3.01,2.5,3.6,0.9,4.3,0.9,1.2,2.7,4.3,2.23,4.5,2.5,0.3,0.02,2.09,0.98,0.7,2.87,2.7,2.57,1.45,3.25,2.31
-0.58,1.37,1.91,3.49,0.4,3.29,3.59,2.14,3.32,0.9,3.83,2.88,2.98,3.13,3.15,1.18,1.4,1.73,1.75,1.13,-1.08,3.4,1.14,3.0,3.97,3.3,2.0,1.59,3.5,3.53
0.7,1.94,3.2,3.05,-0.45,1.64,1.22,-0.5,2.94,2.1,1.9,2.39,2.1,2.14,0.91,0.05,3.49,1.6,1.11,2.93,1.79,1.84,3.8,0.4,3.14,3.0,2.94,2.41,1.26,2.0
3.4,2.11,3.97,1.85,3.4,2.63,2.03,-0.15,0.7,3.14,1.6,2.55,2.74,2.67,-0.15,0.91,1.33,2.63,-0.51,-0.65,2.17,1.03,1.27,3.77,2.1,1.24,1.1,-0.83,1.0,2.5
3.12,3.1,0.32,3.24,3.89,1.68,3.35,0.39,0.01,3.37,1.93,-0.86,3.1,3.3,2.17,2.1,2.44,1.86,0.23,2.4,2.73,0.93,0.29,1.3,3.29,3.07,3.9,2.51,2.46,2.31
2.74,2.71,1.75,1.52,2.73,2.72,2.08,2.01,0.33,3.44,3.53,2.4,2.71,2.4,3.5,3.3,0.23,0.12,2.39,0.92,0.79,0.25,-1.17,2.96,2.53,1.19,2.33,1.83,2.5,4.13
1.49,2.79,2.9,2.86,2.8,3.65,2.5,1.55,2.39,2.24,4.26,1.88,3.09,3.0,2.5,1.3,-0.5,-0.69,2.75,2.94,3.33,1.3,4.09,2.6,3.89,1.8,1.65,2.0,2.41,3.89
2.31,3.36,4.3,4.49,1.53,2.21,3.8,1.8,2.51,3.58,1.89,4.43,0.97,2.65,3.8,2.57,2.87,0.58,2.25,1.21,0.41,3.09,1.49,3.06,1.64,1.2,1.44,3.15,0.48,2.28
2.4,2.21,2.3,4.2,1.89,2.41,0.2,3.78,3.16,1.49,1.68,1.2,1.61,2.35,2.51,1.2,2.83,1.55,2.36,0.31,2.3,2.08,1.93,0.22,1.4,2.36,2.8,0.92,2.83,2.68
1.7,0.31,2.35,0.37,2.76,2.39,0.52,1.07,1.6,3.6,0.06,2.4,-0.06,1.78,1.67,1.2,0.93,3.6,0.8,-0.69,3.8,1.1,1.61,2.94,3.14,2.9,0.11,2.62,2.15,0.7
1.99,1.64,0.62,3.81,0.37,2.08,1.78,2.8,2.98,2.85,-0.87,3.0,3.0,2.71,1.59,3.5,2.0,3.0,3.85,2.35,2.44,1.0,1.88,1.8,2.19,2.61,3.1,2.9,3.58,0.87
1.0,1.82,2.48,1.27,3.6,1.77,2.61,3.3,1.86,2.24,3.84,-0.42,3.3,-0.4,0.9,0.85,3.5,0.2,-0.46,2.54,2.06,2.91,2.2,2.53,-0.98,1.58,1.58,3.63,2.76,1.08
2.49,3.49,1.42,0.9,0.77,2.2,2.8,3.47,-0.35,1.71,3.4,2.26,0.8,4.2,3.05,1.69,3.3,-0.65,0.62,2.18,0.8,1.78,2.19,0.7,4.1,-0.12,2.08,0.96,1.1,0.01
0.74,2.9,3.21,2.05,2.38,0.99,2.74,3.7,2.42,3.48,1.71,3.53,3.97,1.2,1.01,2.05,3.1,2.33,3.05,2.43,2.75,2.0,3.97,3.0,0.74,2.55,1.4,1.71,2.75,3.7
2.8,2.89,1.71,2.4,3.28,3.41,1.26,3.49,3.3,2.33,2.5,3.8,1.0,1.5,-0.87,1.9,1.66,2.6,2.94,3.5,3.88,3.0,1.31,1.2,0.05,2.9,-0.06,2.95,3.34,1.2
1.77,3.1,2.1,1.88,1.76,2.23,2.41,3.87,1.34,1.1,1.49,2.54,0.42,2.7,3.3,2.48,2.49,2.05,-0.12,-0.75,3.1,2.61,-0.37,0.11,1.33,2.63,1.97,1.79,1.1,3.44
2.98,0.37,2.62,3.17,-0.03,2.9,0.92,2.79,1.23,1.92,3.8,1.83,4.1,2.79,4.15,2.75,1.72,2.15,3.61,1.38,3.07,2.9,1.6,2.85,2.98,3.2,2.6,1.87,3.15,-0.88
3.56,3.13,0.92,-0.51,2.63,1.9,2.87,0.6,-0.8,1.53,2.49,2.87,3.3,2.85,1.26,2.68,2.9,1.7,2.15,2.82,4.01,3.2,4.5,2.47,3.42,2.4,1.9,2.02,3.9,3.0
0.3,3.36,1.34,3.19,0.2,-0.18,-0.25,2.5,2.31,2.5,1.5,2.0,3.73,3.9,2.93,3.9,0.53,-0.28,2.03,2.56,2.26,1.92,2.14,2.07,1.21,1.02,2.18,2.4,2.8,1.91
2.96,3.53,4.0,-0.76,1.77,4.2,1.72,3.3,2.31,0.6,2.8,3.04,-0.96,2.75,-0.93,3.0,3.8,1.58,1.81,1.84,3.41,1.75,1.65,3.39,3.39,1.69,2.25,2.12,1.74,3.45
-1.1,1.35,3.0,0.93,1.18,2.29,2.97,3.25,0.4,2.49,3.3,4.0,0.59,0.29,1.06,1.99,2.87,0.15,1.38,2.12,1.83,3.32,2.41,3.0,2.54,0.99,3.0,2.36,1.58,0.67
1.33,3.94,1.01,0.18,3.09,1.58,1.11,2.0,1.11,0.67,0.19,3.59,2.68,3.9,2.13,4.01,0.37,3.7,2.2,0.8,3.58,3.96,2.96,1.98,3.3,-1.1,3.5,2.41,-1.1,2.56
3.7,2.96,3.59,3.59,2.41,2.74,2.63,4.31,3.48,2.75,1.2,1.4,1.75,3.6,3.23,1.93,3.46,1.06,3.15,2.79,2.74,1.91,2.4,1.14,1.97,0.7,-0.82,0.5,2.76,3.31
-0.75,2.2,3.6,2.66,1.58,-0.25,1.78,1.66,3.8,1.73,1.92,2.83,-0.25,2.52,2.5,2.9,3.8,2.15,0.48,3.71,4.19,2.4,2.35,0.69,1.62,2.8,3.87,1.42,0.64,1.59
2.78,2.83,1.16,3.71,1.01,0.85,2.2,1.07,3.22,-0.09,3.6,0.78,2.66,1.25,3.62,2.62,0.79,0.6,2.06,0.72,2.87,3.59,1.91,2.39,2.73,3.83,3.58,-1.42,1.01,2.68
1.46,2.0,1.39,1.5,0.6,-0.25,3.43,3.6,1.86,4.1,2.6,2.8,1.75,1.34,3.99,1.9,1.92,3.51,1.99,2.66,3.0,1.98,-1.08,2.89,3.68,2.69,2.42,3.8,2.82,1.25
3.18,2.6,1.83,1.8,3.21,3.1,3.2,2.74,2.88,2.9,2.6,4.5,1.6,3.03,2.67,-1.48,-0.84,3.7,2.93,2.8,2.16,1.92,1.38,2.93,1.52,2.03,1.88,2.21,2.18,3.64
0.3,3.35,2.18,-0.07,3.1,1.87,4.03,2.72,3.16,1.61,2.45,2.26,3.18,1.79,2.67,3.34,3.06,0.38,1.6,0.61,2.5,0.4,1.47,3.8,-1.28,0.91,3.5,3.35,0.44,0.83
3.12,0.99,1.5,1.07,1.5,3.3,3.36,4.05,2.87,2.24,3.96,2.47,2.47,4.0,2.0,0.3,3.34,3.3,1.76,-0.99,3.0,2.54,3.92,0.92,2.71,2.1,1.15,0.91,1.48,3.6
2.49,2.1,1.69,0.4,1.06,1.78,2.71,0.73,-0.75,1.87,1.69,1.46,1.7,2.78,3.42,3.01,2.8,3.11,1.81,1.58,2.8,2.0,1.2,3.27,3.9,-1.08,1.0,1.01,2.9,3.68
2.86,2.7,-0.09,2.85,3.94,3.47,1.9,3.62,3.11,2.96,1.72,0.4,1.52,2.4,1.24,2.1,0.25,3.6,2.96,3.49,3.1,1.46,2.49,3.6,2.9,1.05,3.7,2.34,1.69,1.53
3.93,0.78,2.74,0.9,0.86,4.02,1.5,1.61,2.4,2.3,0.91,3.99,-0.86,2.28,2.2,1.52,1.2,0.33,1.58,2.77,3.51,2.5,3.54,3.9,3.09,3.7,3.0,2.4,1.5,2.34
2.89,3.31,0.98,1.51,1.51,1.7,2.1,4.3,3.21,2.97,0.6,4.3,3.72,2.91,2.8,3.4,2.2,3.8,2.4,1.0,-0.11,2.42,2.97,3.26,0.49,0.8,3.15,2.49,-0.84,2.8
1.97,2.41,1.89,1.71,2.3,-0.83,2.88,3.33,3.21,1.9,1.61,3.6,3.3,3.7,3.2,2.13,1.85,-0.21,-0.12,3.0,3.41,1.94,3.21,2.64,0.4,0.7,1.8,0.21,1.66,2.88
1.97,1.1,3.0,2.6,3.12,-0.16,0.54,2.99,3.61,2.8,3.15,1.4,2.24,0.68,3.37,4.28,2.6,0.68,-0.28,3.13,3.0,1.8,2.1,2.5,3.07,0.62,1.5,0.78,1.2,3.8
